file_path,label,case_id
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\original\T1.java,original,case-01
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\non-plagiarized\01\T01.java,non-plagiarized,case-01
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\non-plagiarized\02\T01.java,non-plagiarized,case-01
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\non-plagiarized\03\Nomor1_2451041557A22145B3701B0184109CAB013.java,non-plagiarized,case-01
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\non-plagiarized\04\T01.java,non-plagiarized,case-01
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\non-plagiarized\05\T01.java,non-plagiarized,case-01
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\non-plagiarized\06\T01.java,non-plagiarized,case-01
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\non-plagiarized\07\Main.java,non-plagiarized,case-01
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\non-plagiarized\08\T01.java,non-plagiarized,case-01
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\non-plagiarized\09\t01.java,non-plagiarized,case-01
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\non-plagiarized\10\Main.java,non-plagiarized,case-01
C:/Users/adria/OneDrive - Instituto Tecnologico y de Estudios Superiores de Monterrey/AppAvanzadas/IR-Plag-Dataset/IR-Plag-Dataset\case-01\non-plagiarized\11\T01.java,non-plagiarized,case-01
